"name","comment","date","rating"
"Adam Tomlinson","Everything in The Matrix: 👌","02 Apr 2024",3
"Sofiane Berasategui","Everything in The Real World: 🥱","02 Apr 2024",3
"Brett Pemberton","as cool as the 1th, still a big fan of Trinity SHE IS my girl","02 Apr 2024",2
"Gaspard Lescure","On Wednesdays they wear pink","02 Apr 2024",4
"lapelinegra","PUTAINNN LA BAGARRREEEEEEEE AAAAAAH","02 Apr 2024",4
"stevenferro","Top 1 películas que todo el mundo debería ver antes de morirvivimos en matrix","02 Apr 2024",4
"Cementer","La vi en Blu-ray.","02 Apr 2024",3
"JohnJack14","The Matrix: Reloaded expends upon the universe and themes of it's predecessor. However, the exposition isn't conveyed to the audience nearly as well as it was in the original. The amount of verbal exposition dumped on the audience makes the plot confusing to follow and uninteresting. Despite the lackluster storytelling there are moments to be enjoyed such as the action sequences. The visual effects haven't aged well, it doesn't take away from incredible choreography.","02 Apr 2024",3
"Dan Dunford","R.I.P Nebuchadnezzar :(","02 Apr 2024",4
"afergel","Love.","01 Apr 2024",2
"austocean","2024. #229","02 Apr 2024",4
"giu 🇦🇷","That was the longest most unnecessary fight seen of my life I hated it. But I mean 🤷🏽 story I guess? Not as good as the first but Keanu","02 Apr 2024",3
NA,"the architect is such a little bitch ass bitch… always some old white man wanting the play god",NA,NA
NA,"por ahí el principio se hace medio “tedioso” de ver pero al final se empieza a volver más entretenida. Igual la escena de neo peleando con todos los agentes smith parece salida de un videojuego",NA,NA
"Quebeck Films","I'm in...","02 Apr 2024",4
"Dylanthemoviefan","“Trinity, I know you can hear me. I'm not letting go. I can't. I love you too damn much.”","01 Apr 2024",4
"Max Johnson","People let their hatred of hardcore sci-fi get in the way of one of the coolest movies ever. Each action scene tops the last and the entire third act absolutely rules. Genuinely don’t know how you hate this movie.","01 Apr 2024",4
"Ethan Beard","These movies are so fucking sweet dude. Some of the shots in here are bonkers. I feel like this movie was made for me idk; they got hard fits on, rage against the machine, dope cybernetic fights, Oakley’s, and jumping out of windows.","01 Apr 2024",4
