"","name","comment","date","rating","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"1","Adam Tomlinson","Everything in The Matrix: 👌","02 Apr 2024",3,0,0,0,0,0,0,0,0,0,0
"2","Sofiane Berasategui","Everything in The Real World: 🥱","02 Apr 2024",3,0,0,0,0,0,0,0,1,0,1
"3","Brett Pemberton","as cool as the 1th, still a big fan of Trinity SHE IS my girl","02 Apr 2024",2,0,0,0,0,0,0,0,0,0,1
"4","Gaspard Lescure","On Wednesdays they wear pink","02 Apr 2024",4,0,0,0,0,0,0,0,1,1,0
"5","lapelinegra","PUTAINNN LA BAGARRREEEEEEEE AAAAAAH","02 Apr 2024",4,0,0,0,0,0,0,0,0,0,0
"6","stevenferro","Top 1 películas que todo el mundo debería ver antes de morirvivimos en matrix","02 Apr 2024",4,0,1,0,0,0,0,0,1,0,1
"7","Cementer","La vi en Blu-ray.","02 Apr 2024",3,0,0,0,0,0,0,0,0,0,0
"8","JohnJack14","The Matrix: Reloaded expends upon the universe and themes of it's predecessor. However, the exposition isn't conveyed to the audience nearly as well as it was in the original. The amount of verbal exposition dumped on the audience makes the plot confusing to follow and uninteresting. Despite the lackluster storytelling there are moments to be enjoyed such as the action sequences. The visual effects haven't aged well, it doesn't take away from incredible choreography.","02 Apr 2024",3,0,1,0,0,0,1,0,0,2,1
"9","Dan Dunford","R.I.P Nebuchadnezzar :(","02 Apr 2024",4,0,0,0,0,0,0,0,0,0,0
"10","afergel","Love.","01 Apr 2024",2,0,0,0,0,1,0,0,0,0,1
"11","austocean","2024. #229","02 Apr 2024",4,0,0,0,0,0,0,0,0,0,0
"12","giu 🇦🇷","That was the longest most unnecessary fight seen of my life I hated it. But I mean 🤷🏽 story I guess? Not as good as the first but Keanu","02 Apr 2024",3,1,1,0,1,1,0,2,1,1,1
"13",NA,"the architect is such a little bitch ass bitch… always some old white man wanting the play god",NA,NA,1,2,1,2,2,2,0,2,3,2
"14",NA,"por ahí el principio se hace medio “tedioso” de ver pero al final se empieza a volver más entretenida. Igual la escena de neo peleando con todos los agentes smith parece salida de un videojuego",NA,NA,0,0,0,0,0,0,0,1,0,0
"15","Quebeck Films","I'm in...","02 Apr 2024",4,0,0,0,0,0,0,0,0,0,0
"16","Dylanthemoviefan","“Trinity, I know you can hear me. I'm not letting go. I can't. I love you too damn much.”","01 Apr 2024",4,1,0,1,0,1,0,0,0,1,1
"17","Max Johnson","People let their hatred of hardcore sci-fi get in the way of one of the coolest movies ever. Each action scene tops the last and the entire third act absolutely rules. Genuinely don’t know how you hate this movie.","01 Apr 2024",4,2,0,2,2,0,2,0,1,2,2
"18","Ethan Beard","These movies are so fucking sweet dude. Some of the shots in here are bonkers. I feel like this movie was made for me idk; they got hard fits on, rage against the machine, dope cybernetic fights, Oakley’s, and jumping out of windows.","01 Apr 2024",4,2,1,0,0,1,0,1,2,2,1
"19","leti","The highway sequence (car chase shootout, into motorcycle weaving through oncoming traffic, into kung fu atop a moving semi-truck) is the absolute gold standard for every action movie since 2003. Unbelievable sequence. They actually built a highway on a studio backlot to film the thing. Like, holy shit.","01 Apr 2024",3,1,0,1,0,0,0,0,1,3,4
"20","JosueVillatoro","its so weak in front of the first movie... but i liked it","01 Apr 2024",4,0,0,0,0,0,0,0,0,0,0
"21","Kara","Continuing on with The Matrix saga, I watched its sequel after a while and even considered it to be my favorite for quite some time. And after viewing it, that opinion altered a little bit. This is nowhere near a terrible film, but when compared to its predecessor I will admit that in some aspects, it's inferior. The whole team behind this film returns, including The Wachowski’s, but this time around, it felt more like a fun action sci-fi film…","01 Apr 2024",4,1,3,1,1,2,2,0,2,2,4
"22","gabigabi3","ok to be fair I would also barter info for a kiss from keanu","01 Apr 2024",5,0,1,0,0,1,0,1,1,0,2
"23","Jorge Duque","foda tá","01 Apr 2024",2,0,0,0,0,0,0,0,0,0,0
"24","Joshua","if this shit was real life I’d 100% be on the general’s side morpheus and his leather homies sounding like a cult","01 Apr 2024",4,1,0,1,1,0,0,0,2,2,2
"25","Blaine","Lowkey fire","01 Apr 2024",5,0,0,0,1,0,0,0,0,0,0
"26","renee fournier","“ Choice is an illusion created between those with power and those without. ”","01 Apr 2024",4,0,0,0,0,0,0,1,0,1,1
"27",NA,"The second Matrix film is all about choice. The choices of everyone; how they affect themselves and each other. Choices that are predetermined and cannot be affected, and choices that can be made but have dire consequences. It's a brilliant plot device for this second film, which I enjoyed just as much as the first. Neo ripping off Superman is pretty fun, and the antagonists of this story are all very interesting, especially the newly upgraded and rouge Agent Smith.",NA,NA,0,3,1,1,4,1,1,4,1,6
"28",NA,"the power of love brought trinity back to life and i think that's beautiful",NA,NA,0,0,0,0,2,0,0,0,0,2
"29","mikeydgarcia","they ain’t lyin about the freeway being a dangerous place","01 Apr 2024",2,0,0,0,1,0,0,0,0,1,0
"30","julio","This was inscrutably bad","01 Apr 2024",1,1,0,1,1,0,1,0,0,1,0
"31","Lucio Gambetti","Muy buena","01 Apr 2024",3,0,0,0,0,0,0,0,0,0,0
"32","James","Some ropey CGI mixed with breath taking action. Mind bending philosophy mixed with an orgy rave...","30 Mar 2024",3,1,0,1,0,1,0,1,1,1,2
"33","Jake","VICTIMS OF CAUSALITY","01 Apr 2024",5,0,0,0,0,0,0,0,0,0,0
"34","Poppy9","Fate is just another system of control. Reject fate, embrace hope.","01 Apr 2024",3,1,3,0,1,2,1,2,3,2,2
"35","sweetyourock","The CGI was as ridiculous as i remembered but I still liked it.","01 Apr 2024",4,1,0,1,0,0,0,0,0,1,0
"36","Lana","The action scenes still slap so hard, and now that I’ve rewatched it relatively recently and remembered how weird it was, I really did enjoy how unabashedly strange (yet sincere) the Wachowski’s decided to make the follow-up to one of the most successful and influential films of the 1990s. On this rewatch I was also reminded how much I love to say Merovingian. But seriously, it’s still INSANE that that exposition dump from the Architect is in a film of this magnitude.","01 Apr 2024",3,2,2,1,1,3,0,1,4,3,6
"37","ry","I have no idea why Wachowski tried to assure us that Trinity is straight. It’s more impossible than the Matrix existing.","01 Apr 2024",3,0,0,0,0,0,1,0,1,1,0
"38","ignatz_maria","pretty great follow-up to a movie that felt like a setup for something more. it's fun how they complicate the straightforward chosen one narrative and turn it into something completely different. this is also another good example of cgi being used effectively as its own thing without trying to ape practical effects lmao. fun time","01 Apr 2024",2,1,4,0,0,3,0,1,3,1,6
"39","El Templo Del Geek","it rules how the wachowskis made the first matrix as this dumb, shlocky but perfectly calibrated action movie about how they’re the dumbest anarchists in the world only to follow up with a sequel that’s a dumb, schlocky but perfectly calibrated action movie about how they’re really fucking smart anarchists. and they are! i esp enjoyed them giving the “we want everything” slogan to agent smith. anyway. it rules that they basically absorb a dozen different genre tropes into something…","30 Mar 2024",NA,0,1,0,0,0,0,0,1,1,2
"40","matilda1306","Una secuela digna de The Matrix?? Pues claramente no","26 Feb 2024",NA,0,0,0,0,0,0,0,0,0,0
"41",NA,"Tiene escenas muy largas, donde en algunas no pasa absolutamente nada",NA,NA,0,0,0,0,0,0,0,0,0,0
"42",NA,"Escenas que podrían haber sido cortadas porque dura demasiado la acción y el CGI, en ocasiones, parece de PS2",NA,NA,0,0,0,0,0,0,0,0,0,0
"43",NA,"Aún así, entretiene 👌🏻",NA,NA,0,0,0,0,0,0,0,0,0,0
"44",NA,"Can’t remember anything just keanu",NA,NA,0,0,0,0,0,0,0,0,0,0
"45","vivdiv","Silent keanu","01 Apr 2024",1,0,0,0,0,0,0,0,0,0,0
"46","cfranks","The action and world building still hold up for me. It was a letdown at the time, but I still enjoy this one very much.","01 Apr 2024",4,0,2,0,0,1,0,0,1,0,3
"47","deadwitchflying","This review may contain spoilers. I can handle the truth.","01 Apr 2024",5,0,0,0,0,0,0,0,1,0,1
