"name_data","comment_data","date_data","rating_data","rating"
"Blaine","“ How do you know if you want something yourself or if your upbringing programmed you to want it? ”","02 Apr 2024","★★★★★",5
"Howard Jones","Idgaf what anyone says, no Matrix movie is a bad Matrix movie. I love all of them, even this one. Sure it has its flaws and problems, but for once, I could ignore them and genuinely enjoy this reboot film. It had everythng I needed and wanted, and then some more. I do wish they had brought back the original…","01 Apr 2024","★★★★",4
"Allie Smith","He is risen","02 Apr 2024","★★★★",4
"David","Matrix 4EVA 💘","01 Apr 2024","★★★★★",5
"zoe","I’m gonna be real; some of y’all just didn’t get it. But those who do, I see you.","01 Apr 2024","★",1
"Auraknighted","This is a misunderstood masterpiece, a meta marvel, and a big-hearted love story. I’m so thankful it exists! The 2.7 on here is tragic!","01 Apr 2024","★★★",3
"Natalie Y","Recontextualizing the original Matrix trilogy as a video game series (and trapping Neo into another false reality, where his actual memories make up the gameplay {that he designed!})… Using two gay white men to play a boss and…","01 Apr 2024","½",0
"jonassz","they fucked up","02 Apr 2024","★★½",2
"Andy Junttonen","C'mon people, it ain't that bad.","01 Apr 2024","★★★★",4
"Ryan Koller","This is depressingly bad","01 Apr 2024","★★",2
"difenhidramina","Man, pelo hype e nostalgia eram 5 estrelas, mas puts, essa versão final do filme, não me convenceu","01 Apr 2024","½",0
"Noah","oh this is why zack snyder fans are the way they are…","01 Apr 2024","★★★",3
NA,"I wanted to give this another shot and see how this movie feels since I saw it in 2021 and in some ways I enjoyed this more but I still stand by that this is not particularly good. The acting isn't great, and there are questionable editing choices especially during action which felt messy and incoherent compared to the original trilogy. It's a weird movie. Also the middle of the movie where Neo is rescued and meets up Naomi is…",NA,NA,NA
NA,"M4tens3",NA,NA,NA
NA,"2.5 of these stars come from the scene where Neo has a rubber duck on his head in a bathtub.",NA,NA,NA
NA,"I’m kidding, but only partly.",NA,NA,NA
"Matthew Gorski","I miss techno","01 Apr 2024","★★★",3
"Lucio Gambetti","Decayente","01 Apr 2024","★★",2
"Mateo","Honestly a goated franchise and will absolutely revisit all of the movies again. (This movie rocked)","01 Apr 2024","★★★★",4
"benzostraydogs","If you’re going to be forced to return to your wrapped story by the suits (agents), make it your own again and don’t let the bastards box your art in. That’s exactly what Lana Wachowski manages with The Matrix Resurrections. Simultaneously a lament, a battle cry, and an ode, we are once more asked to confront ourselves, our society, and interrogate the choices we have made in the intervening years since The Matrix hit movie theaters like a freight train 25 years ago. The answers will take time, but Lana Wachowski lit a new beacon signaling we can break the chains binding us to reality.","01 Apr 2024","★★★★½",4
"FloatingThought","The cast of sense 8 arrives on set: ""What is this, a crossover episode?""","01 Apr 2024","★½",1
"ibralite","My favourite love story, I could never hate this","01 Apr 2024","★★★",3
"DaymanSmoketh","I really liked the idea behind all of this, and the continuation of the story, I really do. But that’s about all I care about. The newer characters don’t really do it for me, the action sequences are meh, and I just wish I liked it more.","01 Apr 2024","★★★",3
"irene001","This was too long for a video game ad","01 Apr 2024","★★★",3
"molesome","I appreciate what Lana was doing here even if it is the worst Matrix sequel.","01 Apr 2024","★★★½",3
"Dienekes22","It feels like a hit with the right people, but it didn’t quite hit with me. Most of the action lacks any real “pop” which is a real shame (the Exiles fight is particularly bad). The final such sequence is very good, though. The whole movie is maybe a tad long? Maybe. I can appreciate that this series isn’t really for me, and I can still feel the passion throughout. I really wanted to like it, but I just didn’t. Happy 25 years to this franchise and all the love to the Wachowskis for making it.","01 Apr 2024","★★★★½",4
"Jake Hornsey","Pretty good, there are some fairly good action sequences, I just wish there were more. Pretty messy plot but had some good visuals. Not bad and especially better than I expected considering it being a reboot. I was pleasantly surprised.","01 Apr 2024",NA,NA
"RoseTano66","The Merovingian yelling platitudes while everyone is fighting is when I knew this was actually a great movie","01 Apr 2024",NA,NA
"Theo","“That's what the Matrix does. It weaponizes every idea. Every dream. Everything that's important to us.”","31 Mar 2024","★★★★★",5
"restarted","A film that comes from both spite and love simultaneously. Spite towards every single insufferable trend in big franchises such as legasequels and a refusal to let go, but also a great ode from Lana Wachowski to her and her sister’s creation. Spite towards a cisnormative society, but also love to what the Matrix films’ represent for transness.","01 Apr 2024","★",1
"Timélow","It looks amazing, the action is…","01 Apr 2024","★★★★",4
"Trolliver","Crazy how much blockbusters have changed in the last 20 years","01 Apr 2024","★★",2
"MrNarci","This review may contain spoilers. I can handle the truth.","01 Apr 2024","★★★★★",5
"Mark Lotto","SPOILERS","01 Apr 2024","★★★½",3
